length,build_year,top_speed,beam,gt,guests,crew,max_draught,displacement_tonnage,fuel_capacity,water_capacity,total_power,passenger_rooms,master_rooms,double_rooms,twin_rooms,number_of_decks,range,vip_rooms,refits_num,charter,series_model_class,naval_architect,exterior_designer,interior_designer,hull_number,yacht_subtype,refits_bin,broker.northropandjohnson,broker.worthavenueyachts,broker.denisonyachtsales,broker.fraseryachts,broker.camperandnicholsons,broker.edmiston,broker.burgessyachts,broker.oceanindependence,broker.iyc,broker.other_broker,yacht_type.Motor Yacht,builder.low_cost,builder.upper_standard,builder.standard,builder.supreme,hull_type.unknown,hull_type.Deep V / Planing,hull_type.Full Displacement,hull_type.Semi Displacement,hull_type.other_hull_type,hull_type.Monohull,classification.unknown,classification.BV,classification.LR,classification.other_classification,classification.RINA,classification.ABS,engine_make.MTU,engine_make.Caterpillar,engine_make.unknown,engine_make.MAN,engine_make.other_engine_make,hull.Steel,hull.Aluminium,hull.other_hull,superstructure.unknown,superstructure.GRP,superstructure.Aluminium,superstructure.other_superstructure,deck.Teak,deck.other_deck,price
0.1591647331786543,0.8125,0.44761904761904764,0.23076923076923078,0.012463649257184562,0.14285714285714285,0.04201680672268908,0.015923566878980906,0.053763440860215055,0.07099612178010961,0.04356534802203305,0.12760416666666666,0.25,0,0.14285714285714285,0.14285714285714285,0.25,0.21434085256025387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,850000
0.24807424593967514,0.890625,0.580952380952381,0.2923076923076923,0.03390729573045712,0.35714285714285715,0.03361344537815126,0.2802547770700637,0.03527636295038672,0.042126412613226,0.018527791687531298,0.2339409722222222,0.375,0,0,0,0,0.03422248906424222,0,0.6,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,6495000
0.20612529002320187,0.859375,0.3142857142857143,0.3197802197802198,0.032214376272040865,0.2857142857142857,0.03361344537815126,0.3089171974522293,0.0311262026032824,0.03044502740119217,0.014521782674011016,0.2013888888888889,0.375,0,0,0,0,0.05137661892100523,0,0.1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,3437528.6460720506
0.46069605568445476,0.8203125,0.14285714285714285,0.4675824175824176,0.17235048699649752,0.42857142857142855,0.10084033613445378,0.7452229299363058,0.053763440860215055,0.44023215918724257,0.2705470205307962,0.1449652777777778,0.625,0,0.14285714285714285,0.14285714285714285,0.25,0.4716528004116991,0,0.1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,17416811.806765057
0.3050580046403712,0.8125,0.13333333333333333,0.36978021978021974,0.07491356705653975,0.42857142857142855,0.04201680672268908,0.4299363057324841,0.053763440860215055,0.07099612178010961,0.04356534802203305,0.0798611111111111,0.5,0,0.14285714285714285,0.14285714285714285,0.25,0.43219830174114415,0,0.1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,7241727.014391786
0.37122969837587005,0.9609375,0.4095238095238095,0.3131868131868132,0.0431243016707234,0.2857142857142857,0.025210084033613446,0.42834394904458606,0.053763440860215055,0.07099612178010961,0.04356534802203305,0.12760416666666666,0.375,0,0.14285714285714285,0.14285714285714285,0.25,0.3429968264859765,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,24291869.09890916
0.1739211136890951,0.9765625,1,0.24450549450549453,0.0088897081783058,0.14285714285714285,0.008403361344537815,0.14012738853503187,0.01452556121486512,0.02543871945317767,0.014521782674011016,0.2534722222222222,0.25,0,0.14285714285714285,0,0,0.025645424135860708,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,7200000
0.21689095127610208,0.8359375,0.10476190476190476,0.2961538461538462,0.03522401086478088,0.14285714285714285,0.025210084033613446,0.47133757961783435,0.0692322203357857,0.1566607258479017,0.0886329494241362,0.03125,0.25,0,0.14285714285714285,0,0.25,0.38588215112788404,0,0.1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,6274635.621963517
0.37354988399071926,0.65625,0.11428571428571428,0.3582417582417583,0.08601159461726852,0.5714285714285714,0.06722689075630252,0.49044585987261147,0.053763440860215055,0.16728411131358845,0.19879819729594392,0.047309027777777776,0.625,0,0.14285714285714285,0.42857142857142855,0.25,0.300111501844069,0,0.1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,15491795.764964709
0.3090487238979118,0.8828125,0.29523809523809524,0.3450549450549451,0.06343933517171846,0.42857142857142855,0.05042016806722689,0.5828025477707006,0.08243727598566308,0.0901577654511351,0.048047371056584874,0.2691840277777778,0.5,0,0.14285714285714285,0.14285714285714285,0.25,0.1285702032764388,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,11453845.448712073
