;LENGTH;BUILD YEAR;TOP SPEED;BEAM;GT;GUESTS;CREW;BROKER;CHARTER;Name:;Yacht Type:;Series, Model, Class:;Builder:;Naval Architect:;Exterior Designer:;Interior Designer:;Length Overall:;Length at Waterline:;Beam:;Max Draught:;Gross Tonnage:;Displacement Tonnage:;Year of Build:;Hull Number:;Hull Type:;Classification:;Max Speed:;Cruising Speed:;Fuel Capacity:;Water Capacity:;Engine Make:;Total power:;Hull:;Superstructure:;Deck:;Guests:;Passenger Rooms:;Master Rooms:;Double Rooms:;Twin Rooms:;Number of Decks:;Range:;;VIP Rooms:;Refits:;Single Rooms:;Triple Rooms:;Yacht Subtype:;Convertible:;Crew bunk beds:;Pullman Beds:;MCA Compliant:;Engine Model;Build time:
199;23.05 m;2018;;5.59 m;87;8;;https://www.worthavenueyachts.com/yachts-for-sale/skyfall/;;SKYFALL;Motor Yacht;;Monte Carlo Yachts;;;;23.05 metres;;5.59 metres;2.54 metres;87;;2018;;;;;;4000 litres;1000 litres;MAN;2400hp;;;;8;4;;;;;;;;;;;;;;;;;
200;24.6 m;2002;17 kn;6.4 m;98;6;2;https://www.worthavenueyachts.com/yachts-for-sale/safari/;;SAFARI;Motor Yacht;80;Symbol Yacht;;;;24.6 metres;23.32 metres;6.4 metres;1.8 metres;98;70;2002;77005;Semi Displacement;;17 kn;13.5 kn;6056 litres;1514 litres;MTU;1800hp;GRP;GRP;Teak;6;;;;;2;1000 nm;@ 12 kn;;;;;;;;;;;
201;46 m;2010;17 kn;9 m;455;10;9;https://www.edmiston.com/yacht-brokerage/yachts/mystic;;MYSTIC;Motor Yacht;CMB 46;CMB Yachts;;Diana Yacht Design;Birgit Schnaase;46 metres;40 metres;9 metres;2.28 metres;455;300;2010;;Full Displacement;RINA;17 kn;13 kn;67000 litres;11000 litres;MTU;2900hp;GRP;GRP;Teak;10;5;1;2;2;3;4000 nm;@ 10 kn;;;;;;;;;;;
202;56 m;2005;17 kn;10.4 m;894;12;12;https://www.edmiston.com/568/jaguar-yacht-for-sale/;;JAGUAR;Motor Yacht;56M;Benetti;;;;56 metres;48.4 metres;10.4 metres;3.57 metres;894;805;2005;FB 225;Full Displacement;LR;17 kn;15 kn;130000 litres;20000 litres;Caterpillar;3650hp;Steel;Aluminium;Teak;12;6;1;2;2;3;6100 nm;@ 12 kn;1;2010-01-01,2020-06-25,2023-06-14,2023-08-23,2023-02-24,2023-09-23;;;;;;;;;
203;60 m;2015;14.5 kn;10.69 m;1212;12;15;https://wavemarinegroup.com/yacht-details/196-ft-brodosplit-2015-katina/2801927/;Price from €260,000 p/w •;KATINA;Motor Yacht;;Brodosplit;;;Ali Gez;60 metres;;10.69 metres;3.1 metres;1212;;2015;;Full Displacement;CRS;14.5 kn;12 kn;124000 litres;79420 litres;Caterpillar;;Steel;Aluminium;Teak;12;6;1;;3;4;4000 nm;@ 12 kn;2;;;;;;;;;;
204;18.8 m;2019;39 kn;5.37 m;24;4;;https://www.superyachtpartners.com/yachts-for-sale/motor-yachts-for-sale/;;MRS D;Motor Yacht;Bluegame BG 62;Sanlorenzo;Lou Codega;;Luca Santella, Zuccon International Project;18.8 metres;;5.37 metres;1.4 metres;24;;2019;;;;39 kn;32 kn;2800 litres;650 litres;Volvo Penta;;;;;4;2;;;;;400 nm;;;;;;;;;;;;
205;12.8 m;2019;34 kn;4.37 m;17.24;4;;https://www.superyachtpartners.com/yachts-for-sale/motor-yachts-for-sale/;;LITTLE E;Motor Yacht;Bluegame BG42;Sanlorenzo;Lou Codega;Luca Santella, Zuccon International Project;Luca Santella, Zuccon International Project;12.8 metres;;4.37 metres;0.86 metres;17.24;11.5;2019;;;;34 kn;27 kn;1390 litres;330 litres;Volvo Penta;;;;;4;2;;;;;270 nm;;;;;;;;;;;;
206;24.64 m;2017;;5.74 m;88;8;2;https://www.worthavenueyachts.com/yachts-for-sale/signe/;;SIGNE;Motor Yacht;SL78 Sag Harbor;Sanlorenzo;;;;24.64 metres;;5.74 metres;1.8 metres;88;;2017;661;Deep V / Planing;;;;;;MTU;3040hp;GRP;GRP;Teak;8;4;1;;2;2;;;1;2020-06-10,2019-07-01;;;;;;;;;
207;23.16 m;2002;32 kn;5.44 m;;6;;https://www.worthavenueyachts.com/yachts-for-sale/obsession/;;OBSESSION;Motor Yacht;;Sunseeker;;Sunseeker;;23.16 metres;;5.44 metres;1.5 metres;;;2002;;;;32 kn;28 kn;;;;;;;;6;3;;;;;;;;;;;;;;;;;
208;34.14 m;2012;25 kn;7.24 m;208;8;5;https://www.worthavenueyachts.com/yachts-for-sale/jeannietini/;;JEANNIETINI;Motor Yacht;112;Westport;;;;34.14 metres;29.5 metres;7.24 metres;1.6 metres;208;107;2012;7746;Deep V / Planing;;25 kn;22 kn;20819 litres;3830 litres;MTU;4000hp;GRP;GRP;GRP,Teak;8;4;1;1;1;2;2500 nm;@ 12 kn;1;;;;;;;;;;
209;37.8 m;2002;18 kn;7.92 m;265;11;6;https://www.worthavenueyachts.com/yachts-for-sale/pursuit/;Price from $95,000 p/w •;PURSUIT;Motor Yacht;;Trinity Yachts;;Setzer Yacht Architects;Dee Robinson;37.8 metres;33.25 metres;7.92 metres;2.26 metres;265;199;2002;22;Semi Displacement;ABS;18 kn;15 kn;39742 litres;9462 litres;MTU;3600hp;Aluminium;Aluminium;Teak;11;5;1;2;1;2;4700 nm;@ 12 kn;;;;;;;;;;;
210;43.28 m;2007;17 kn;8.2 m;395;10;9;https://www.fraseryachts.com/;;CALLIOPE;Motor Yacht;Richmond 142;Richmond Yachts;;;;43.28 metres;38 metres;8.2 metres;2.3 metres;395;270;2007;004;Semi Displacement;ABS;17 kn;12 kn;40367.61 litres;6435 litres;Caterpillar;3600hp;GRP;GRP;Teak;10;5;1;2;2;3;3000 nm;@ 12 kn;;;;;;;;;;;
211;48.8 m;2016;17 kn;8.84 m;499;12;10;https://www.northropandjohnson.com/yachts-for-sale/chasseur-160-christensen;Price from $240,000 p/w •;CHASSEUR;Motor Yacht;;Christensen;Christensen;Christensen;;48.8 metres;43.4 metres;8.84 metres;2.13 metres;499;440;2016;40;Full Displacement;ABS;17 kn;12 kn;58673.86 litres;13627.48 litres;Caterpillar;3300hp;GRP;GRP;Teak;12;6;1;4;;3;4000 nm;@ 12 kn;1;2021-06-23;;;Displacement;;;;;;
212;59 m;2017;17 kn;10.7 m;1053;12;16;https://www.edmiston.com/yacht-brokerage/yachts/maybe;;MAYBE;Motor Yacht;;Metalships;;;;59 metres;50.68 metres;10.7 metres;3.2 metres;1053;924;2017;Y102;Full Displacement;BV;17 kn;12 kn;135000 litres;20000 litres;Caterpillar;3900hp;Steel;Aluminium;Teak;12;6;1;2;2;3;5000 nm;@ 12 kn;1;;;;;;;;;;
213;29.64 m;2023;21 kn;6.83 m;150;6;3;https://www.northropandjohnson.com/yachts-for-sale/fourth-down-97-ocean-alexander;;FOURTH DOWN;Motor Yacht;30R;Ocean Alexander;;Evan K. Marshall;Evan K. Marshall;29.64 metres;23.18 metres;6.83 metres;1.96 metres;150;93.8;2023;30R04;Semi Displacement;;21 kn;18 kn;11356 litres;1704 litres;;;GRP;GRP;GRP,Teak;6;3;;;;3;;;;;;;;;;;;;
214;32 m;1991;11 kn;7.75 m;147;7;4;https://www.fraseryachts.com/;;VAGABOND;Motor Yacht;105;Windship;;Ron Holland Design;Winch Design;32 metres;25.6 metres;7.75 metres;2.13 metres;147;163;1991;;Monohull;;11 kn;8 kn;10470 litres;3420 litres;Caterpillar;500hp;GRP;GRP;Teak;7;3;1;1;1;;2000 nm;@ 8 kn;;2023-01-01;;;;;;;;;
215;22.8 m;2021;35 kn;;;8;;https://www.oceanindependence.com/yachts-for-sale/yacht/kala;;KALA;Motor Yacht;;Princess;;;;22.8 metres;;;;;;2021;;;;35 kn;20 kn;;;;;;;;8;;;;;;;;;;;;;;;;;;
216;45.7 m;2008;25 kn;8.4 m;395;12;8;https://www.fraseryachts.com/;;FOUR JACKS;Motor Yacht;150;Palmer Johnson;;;;45.7 metres;;8.4 metres;1.9 metres;395;263;2008;PJ 249 (150/3);Deep V / Planing;LR;25 kn;22 kn;40466 litres;5527 litres;MTU;7300hp;Aluminium;Aluminum;Teak;12;5;1;2;2;2;700 nm;@ 22 kn;1;;;;;;;;;;
217;26.2 m;2023;33 kn;6.3 m;82;8;3;http://www.denisonyachtsales.com/;;SIDURI III;;Y85;Princess;;;;26.2 metres;;6.3 metres;1.77 metres;82;66.5;2023;Y85 549;Deep V / Planing;;33 kn;;11000 litres;1500 litres;MAN;3800hp;GRP;GRP;Teak;8;4;1;1;1;2;;;1;;;;;;;;;;
218;38.9 m;2006;13 kn;8.3 m;170;11;6;https://www.fraseryachts.com/;;LADY M;Sail Yacht;;Fitzroy Yachts;;Dubois Naval Architects;;38.9 metres;34.1 metres;8.3 metres;4 metres;170;185;2006;FY05;Monohull;LR;13 kn;10 kn;16150 litres;5140 litres;Caterpillar;700hp;Aluminium;Aluminium;Teak;11;4;1;;2;;3750 nm;@ 10 kn;1;2011-01-01,2022-05-01,2023-06-13;;;;;;;;;
219;26.6 m;2003;;4.75 m;;;15;https://www.berthoninternational.com/yacht-sales-brokerage/yachts-for-sale/super-maxi-86-way-of-life/;;WAY OF LIFE;Sail Yacht;;McConaghy Boats;;;;26.6 metres;;4.75 metres;2.2 metres;;;2003;;Monohull;;;;;;;;Composite;Composite;Composite;;;;;;;;;;;;;;;;;;;
220;25.39 m;1985;23 kn;6.38 m;;8;3;http://www.denisonyachtsales.com/;;LORCA;Motor Yacht;;Heesen Yachts;;;;25.39 metres;23.5 metres;6.38 metres;1.8 metres;;;1985;;Semi Displacement;;23 kn;18 kn;12200 litres;2400 litres;MTU;2700hp;Aluminium;Aluminium;Teak;8;;;;;2;;;;;;;;;;;;;
221;43.6 m;2009;16 kn;8.96 m;456;10;4;https://www.fraseryachts.com/;Price from €160,000 p/w •;HARMONY III;Motor Yacht;Vision;Benetti;Benetti;Stefano Righini;Francois Zuretti;43.6 metres;37.92 metres;8.96 metres;2.7 metres;456;380;2009;BV 12;Full Displacement;ABS;16 kn;13 kn;67600 litres;11200 litres;Caterpillar;;GRP;GRP;Teak;10;5;1;2;2;3;4000 nm;@ 12 kn;2;2017-11-24;;;;;;;;;
222;35 m;1987;12.5 kn;7.5 m;199;10;5;https://www.fraseryachts.com/;Price from €60,000 p/w •;NIGHTFLOWER;Motor Yacht;;Codecasa;;;;35 metres;30.2 metres;7.5 metres;3.5 metres;199;190;1987;F.45;Full Displacement;LR;12.5 kn;11.5 kn;60000 litres;20000 litres;Caterpillar;1360hp;Steel;Aluminium;Teak;10;5;;;;;5000 nm;@ 12 kn;;2021-01-01;;;;;;;;;
223;89 m;2015;18 kn;14.35 m;2999;16;4;https://y.co/yacht/lady-lara;;LADY LARA;Motor Yacht;;Lurssen;;;;89 metres;;14.35 metres;;2999;;2015;13684;Full Displacement;LR;18 kn;12 kn;;;;;Steel;Aluminium;Teak;16;8;;;;4;;;;2023-06-11,2022-06-03,2021-11-29,2021-05-23,2019-11-26,2019-05-31;;;;;;;;;
224;38.2 m;2023;18 kn;10.6 m;367;10;7;https://www.fraseryachts.com/;;K+;Motor Yacht;Maori 125;Maori Yacht;;;;38.2 metres;;10.6 metres;2.35 metres;367;230;2023;125/01;Semi Displacement;;18 kn;15 kn;38000 litres;5000 litres;MAN;3600hp;Composite;Composite;Teak;10;5;1;;;3;4200 nm;@ 10.5 kn;4;;;;;;;;;;
225;32 m;2021;27 kn;7.3 m;212;10;5;https://web.y.co/yacht/miss-leen;;MISS LEEN;Motor Yacht;Grande 32M;Azimut;;;;32 metres;;7.3 metres;1.92 metres;212;142;2021;320xx;Deep V / Planing;;27 kn;21 kn;16000 litres;2500 litres;MTU;4400hp;GRP;Carbon Fibre,GRP;Teak;10;5;1;2;2;2;1000 nm;@ 12 kn;;2022-09-19,2022-06-20;;;;;;;;;
226;63.5 m;2006;;12.1 m;1389;12;18;https://camperandnicholsons.com/luxury-motor-yacht-for-sale/lioness-v-benetti-2006;Price from €425,000 p/w •;LIONESS V;Motor Yacht;;Benetti;;;;63.5 metres;;12.1 metres;3.6 metres;1389;1150;2006;FB 233;Full Displacement;LR;;;;;Caterpillar;4500hp;Steel;Aluminium;Teak;12;6;1;3;2;3;;;;2020-07-03,2021-05-27,2022-11-11,2023-07-28;;;;;;;;;
227;52 m;2018;18 kn;9.35 m;499;12;9;https://westnautical.com/yacht/kd/;;KD;Motor Yacht;52Steel;Sanlorenzo;;;;52 metres;;9.35 metres;2.65 metres;499;480;2018;125;Full Displacement;ABS;18 kn;16 kn;55000 litres;;MTU;3800hp;Steel;Aluminium;Teak;12;5;1;2;2;3;4400 nm;@ 11 kn;2;;;;;;;;;;
228;24.51 m;1987;12 kn;5.6 m;48;6;3;https://moraviayachting.mc/buy/elettra;;ELETTRA;Sail Yacht;80;Perini Navi;;;;24.51 metres;19.3 metres;5.6 metres;4.6 metres;48;70;1987;8001;Monohull;BV;12 kn;10 kn;4380 litres;1620 litres;Caterpillar;320hp;GRP;GRP;Teak;6;3;1;1;1;;1200 nm;@ 10 kn;;2008-01-01,2003-01-01;;;;;;;;;
229;30.13 m;2021;24 kn;6.81 m;190;10;5;https://www.northropandjohnson.com/yachts-for-sale/gladius-98-ferretti-yachts;;GLADIUS;Motor Yacht;1000;Ferretti;;;;30.13 metres;23.98 metres;6.81 metres;2.28 metres;190;115;2021;1003;Deep V / Planing;;24 kn;20 kn;9000 litres;1320 litres;MTU;;GRP;GRP;Teak;10;5;1;4;;2;;;;;;;;;;;;;
230;49.8 m;2016;23 kn;9 m;499;12;9;https://www.edmiston.com/yacht-brokerage/yachts/my-loyalty;;MY LOYALTY;Motor Yacht;5000 Alu;Heesen Yachts;;Omega Architects;;49.8 metres;42.7 metres;9 metres;2.5 metres;499;313;2016;176 50;Semi Displacement;ABS;23 kn;20 kn;68800 litres;16200 litres;MTU;7720hp;Aluminium;Aluminium;Teak;12;6;1;2;2;3;3100 nm;@ 11 kn;1;2020-01-15;;;;;;;;;
231;49.9 m;2020;14.5 kn;8.9 m;499;;;https://iyc.com/yachts/seagull-mrd/;;SEAGULL MRD;Motor Yacht;;Benetti;;;;49.9 metres;;8.9 metres;;499;;2020;FB704;;RINA;14.5 kn;13.5 kn;;;MAN;;Steel;Aluminium;;;;;;;3;;;;;;;;;;;;;
232;21.34 m;1996;;5.54 m;;7;;https://www.northropandjohnson.com/yachts-for-sale/loveliest-lady-70-hatteras;;LOVELIEST LADY;Motor Yacht;;Hatteras;;;;21.34 metres;;5.54 metres;1.52 metres;;;1996;;;;;;6056.66 litres;1305.97 litres;Detroit Diesel;;;;;7;4;;;;;;;;;;;;;;;;;
233;26.82 m;2017;30 kn;6.3 m;121;8;2;https://www.princess.co.uk/used-yachts/used-princess-88-8481538/;;SANCTUARY;Motor Yacht;Y88;Princess;;;;26.82 metres;;6.3 metres;1.7 metres;121;67;2017;;Deep V / Planing;;30 kn;29 kn;8400 litres;1500 litres;MTU;3894hp;GRP;GRP;Teak;8;4;1;1;1;2;1100 nm;@ 11 kn;1;;;;;;;;;;
234;26.2 m;2019;33 kn;6.3 m;82;8;4;https://www.princess.co.uk/used-yachts/Princess-Y85-8750924;;GOLD RUSH;Motor Yacht;Y85;Princess;;;;26.2 metres;;6.3 metres;1.77 metres;82;66.5;2019;Y85 507;Deep V / Planing;;33 kn;;11000 litres;1500 litres;MAN;3800hp;GRP;GRP;Teak;8;4;1;1;1;2;;;1;;;;;;;;;;
235;47.05 m;2016;14 kn;8.6 m;484;11;7;https://moraviayachting.mc/buy/bartali;;BARTALI;Motor Yacht;;Wider;;Fulvio De Simoni;;47.05 metres;43.75 metres;8.6 metres;1.98 metres;484;355;2016;1;Full Displacement;RINA;14 kn;13 kn;45000 litres;12001 litres;Visedo;1424hp;Aluminium;Aluminium;Teak;11;5;1;2;2;3;4700 nm;@ 10 kn;;2023-04-27,2022-04-12,2020-06-18,2020-12-17;;;;;;;;;
236;55 m;1996;17.5 kn;10 m;881;16;16;https://www.fraseryachts.com/en/yacht-for-sale/olympus-1/;;OLYMPUS;Motor Yacht;;Feadship;De Voogt Design International;Winch Design;Winch Design;55 metres;49.9 metres;10 metres;3.2 metres;881;789;1996;775;Full Displacement;LR;17.5 kn;11.5 kn;103100 litres;38900 litres;Caterpillar;5200hp;Steel;Aluminium;Teak;16;8;;;;3;4000 nm;@ 11.5 kn;;2023-01-01;;;;;;;;;
237;27.43 m;1997;8.5 kn;5.18 m;34;4;3;https://www.carrswoodyachts.com/for-sale/boat-detail?BoatID=9031133&desc=Concordia%20Custom%20Pedrick%2090%27%20Sloop;;SAVANNAH;Sail Yacht;;Concordia;David Pedrick;David Pedrick;John Munford;27.43 metres;17.8 metres;5.18 metres;4.02 metres;34;50;1997;18;Monohull;;8.5 kn;7 kn;11250 litres;1300 litres;MAN;;GRP;Teak;Teak;4;2;1;1;;;;;;2022-01-01;;;;;;;;;
238;67.15 m;2014;22 kn;11.5 m;1128;;21;https://y.co/yacht/dapple;;DAPPLE;Motor Yacht;Sea Axe 6711;Damen Yachting;;;;67.15 metres;66.9 metres;11.5 metres;4 metres;1128;;2014;6711;Full Displacement;LR;22 kn;16 kn;300000 litres;42000 litres;MTU;12016hp;Steel;Aluminium;Aluminium;;13;;;;3;4500 nm;@ 16 kn;;;;;Expedition Yacht;;;;;;
239;55.8 m;2021;17 kn;10.2 m;887;10;13;https://www.burgessyachts.com/en/buy-a-yacht/yachts-for-sale/my-legacy-10000451;;MY LEGACY;Motor Yacht;;Codecasa;;;;55.8 metres;;10.2 metres;3 metres;887;700;2021;F 78;Full Displacement;LR;17 kn;12 kn;140000 litres;25000 litres;Caterpillar;4750hp;Steel;Aluminium;Teak;10;5;1;;2;3;5000 nm;@ 12 kn;2;;;;;;;;;;
240;50 m;2006;17 kn;10 m;781;14;10;https://www.northropandjohnson.com/yachts-for-sale/victoria-del-mar-164-delta-marine;Price from €235,000 p/w •;VICTORIA DEL MAR;Motor Yacht;;Delta Marine;;Delta Marine;Claudette Bonville;50 metres;44.78 metres;10 metres;3 metres;781;575;2006;164-001;Full Displacement;ABS;17 kn;15 kn;82892 litres;13229 litres;Caterpillar;3300hp;GRP;GRP;Teak;14;7;1;4;2;3;3500 nm;@ 11 kn;;;;;;;;;;;
241;25.91 m;2022;21 kn;6.48 m;125;8;4;https://www.northropandjohnson.com/yachts-for-sale/edge-xsr-85-85-sarp-yachts;;EDGE;Motor Yacht;XSR 85;Sarp Yachts;Van Oossanen Naval Architects;Red Yacht Design;Red Yacht Design;25.91 metres;23.99 metres;6.48 metres;1.27 metres;125;70;2022;NB201;Fast Displacement;CE;21 kn;12 kn;7850 litres;2250 litres;MAN;;Composite;Carbon Fibre;Teak;8;4;1;;2;2;1 nm;;1;;;;;;;;;;
242;25.91 m;2022;22 kn;6.48 m;125;8;4;https://www.northropandjohnson.com/yachts-for-sale/nb202-85-sarp-yachts;;SARP XSR-85;Motor Yacht;XSR 85 HYBRID;Sarp Yachts;Van Oossanen Naval Architects;Red Yacht Design;Red Yacht Design;25.91 metres;23.99 metres;6.48 metres;1.27 metres;125;70;2022;NB202;Fast Displacement;CE;22 kn;12 kn;7850 litres;2250 litres;;2000hp;Composite;GRP;Teak;8;4;1;;2;2;1 nm;;1;;;;Displacement;;;;;;
243;25.22 m;2020;23 kn;6.35 m;136;8;3;https://www.twwyachts.com/yachts-for-sale/swg-375916/;;SWG;Motor Yacht;Magellano 25M RPH;Azimut;;;;25.22 metres;;6.35 metres;1.9 metres;136;83.4;2020;M25M/15;Semi Displacement;;23 kn;20 kn;8000 litres;1500 litres;MAN;2800hp;GRP;GRP;Teak;8;4;1;1;2;2;;;;;;;;;;;;;
244;63 m;2019;16 kn;10.6 m;1245;12;15;https://www.burgessyachts.com/en/buy-a-yacht/yachts-for-sale/artisan-00008440;;ARTISAN;Motor Yacht;;Benetti;;;;63 metres;;10.6 metres;4.3 metres;1245;;2019;;;;16 kn;15 kn;;;MTU;3620hp;;;;12;7;;6;1;;;;;2022-01-01;;;;;;;;;
245;39.62 m;2013;24 kn;7.9 m;333;10;7;https://www.northropandjohnson.com/yachts-for-sale/sarabeth-130-westport;;SARABETH;Motor Yacht;130;Westport;;;;39.62 metres;35.02 metres;7.9 metres;1.9 metres;333;206;2013;4008;Semi Displacement;ABS;24 kn;20 kn;37721 litres;6533 litres;MTU;5790hp;GRP;GRP;Teak;10;5;1;2;2;3;3000 nm;@ 12 kn;;;;;;;;;;;
246;28.17 m;2019;21 kn;6.83 m;139;6;3;https://www.northropandjohnson.com/yachts-for-sale/tlc-90-ocean-alexander;;TLC;Motor Yacht;90R;Ocean Alexander;;;;28.17 metres;23.18 metres;6.83 metres;1.96 metres;139;93.8;2019;90R03;Semi Displacement;;21 kn;18 kn;11356 litres;1704 litres;MAN;;GRP;GRP;GRP,Teak;6;3;;;;3;;;;;;;;;;;;;
247;32.62 m;2013;16 kn;7 m;193;11;6;https://www.superyachtsmonaco.com/sales/centurion/;;CENTURION;Motor Yacht;Navetta 33;Custom Line;;;;32.62 metres;28.93 metres;7 metres;2.52 metres;193;183;2013;33/13;Semi Displacement;RINA;16 kn;12 kn;17000 litres;3290 litres;MAN;2800hp;GRP;GRP;Teak;11;5;1;4;2;3;800 nm;@ 12 kn;;;;;;;;;;;
248;22 m;2003;28 kn;5.61 m;;7;2;https://www.oceanindependence.com/yachts-for-sale/yacht/mythos;;MYTHOS;Motor Yacht;SL 72;Sanlorenzo;;;;22 metres;;5.61 metres;1.73 metres;;;2003;437;Deep V / Planing;;28 kn;22 kn;5000 litres;1500 litres;MAN;2600hp;GRP;GRP;Teak;7;3;1;1;1;2;280 nm;@ 22 kn;;2017-01-01;;;;;;;;;
249;42.67 m;2019;15 kn;8.71 m;465;12;7;https://www.northropandjohnson.com/yachts-for-sale/skyler-140-benetti;Price from $199,000 p/w •;SKYLER;Motor Yacht;Crystal 140;Benetti;;;;42.67 metres;;8.71 metres;2.29 metres;465;355;2019;BY009;Full Displacement;RINA;15 kn;14 kn;65250 litres;10400 litres;Caterpillar;;GRP;GRP;Teak;12;5;1;2;2;3;4400 nm;@ 11 kn;;;;;;;;;;;
250;42 m;1987;14 kn;8.02 m;387;8;9;https://www.edmiston.com/2776/sheergold-yacht-for-sale/;;SHEERGOLD;Motor Yacht;;Amels;;;;42 metres;36.45 metres;8.02 metres;2.5 metres;387;252;1987;406;Full Displacement;LR | RINA;14 kn;13 kn;50000 litres;12000 litres;Caterpillar;1550hp;Steel;Aluminium;Teak;8;4;1;1;2;3;4000 nm;@ 10 kn;;2000-01-01,2021-05-27,2020-02-29,2023-03-29,2021-10-11;;;;;;;;;
251;6.75 m;2022;;1.8 m;0.74;5;;https://horizonboatsales.co.uk/product/2022-seven-seas-hermes-speedster-due-in-stock/;;HERMES SPEEDSTER;Motor Yacht;;Hermes;;;;6.75 metres;;1.8 metres;0.25 metres;0.74;;2022;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;
252;22.86 m;2016;;5.4 m;;;;https://www.rjcyachts.com/featured-yachts-for-sale/2016-ferretti-yachts-75-flybridge-my-kudu_648;;KUDU;Motor Yacht;;Ferretti;;;;22.86 metres;;5.4 metres;1.83 metres;;;2016;;;;;;;;MTU;;;;;;;;;;;;;;;;;;;;;;;
253;33 m;1975;21 kn;8 m;195;10;5;https://charterandcharter.com/for-sale/;;NAFISA;Motor Yacht;Admiral 33;Admiral - The Italian Sea Group;;;;33 metres;29.02 metres;8 metres;2.1 metres;195;200;1975;36;Deep V / Planing;;21 kn;18 kn;15500 litres;5000 litres;MTU;3400hp;Mahogany,Marine Ply;Marine Ply;Teak;10;5;1;1;2;2;700 nm;@ 18 kn;1;2020-01-01;;;Classic Yacht;;;;;;
254;65.7 m;2011;17 kn;12.28 m;1503;14;22;https://www.edmiston.com/417/ventum-maris-yacht-for-sale/;Price from €520,000 p/w •;VENTUM MARIS;Motor Yacht;LE 212;Amels;;;;65.7 metres;;12.28 metres;3.85 metres;1503;1378;2011;6501;Full Displacement;LR;17 kn;13 kn;155000 litres;38000 litres;Caterpillar;9426hp;Steel;Aluminium;Teak;14;7;1;2;2;3;5000 nm;@ 13 kn;2;;;;;;;;;;
255;27 m;2001;11 kn;6.55 m;83;6;3;https://www.berthoninternational.com/yacht-sales-brokerage/yachts-for-sale/jongert-2700m-vivid/;;VIVID;Sail Yacht;2700M;Jongert;;Doug Peterson;;27 metres;22.14 metres;6.55 metres;3.2 metres;83;75;2001;407;Monohull;LR;11 kn;9 kn;3900 litres;3000 litres;Scania;257hp;Aluminium;Aluminium;Teak;6;3;1;;2;;;@ 8 kn;;;;;;;;;;;
256;33 m;2021;15 kn;7.68 m;262;10;6;https://www.oceanindependence.com/yachts-for-sale/yacht/adelia;;ADELIA;Motor Yacht;Navetta 33;Custom Line;;Zuccon International Project;Ferretti;33 metres;27.95 metres;7.68 metres;2.18 metres;262;183;2021;N33-17;Semi Displacement;RINA;15 kn;12 kn;20000 litres;3100 litres;MAN;2800hp;GRP;GRP;Teak;10;5;1;2;2;3;1850 nm;@ 10 kn;;2023-05-29,2021-06-27;;;;;;;;;
257;39.43 m;1974;15 kn;6.92 m;250;9;8;https://www.fraseryachts.com/;;EMERA;Motor Yacht;;Camper & Nicholsons;Camper & Nicholsons;;;39.43 metres;34.58 metres;6.92 metres;2.07 metres;250;;1974;1176;;LR/(HR);15 kn;14 kn;39436 litres;20422 litres;MTU;2430hp;Steel;Aluminium;Teak;9;5;;;;;1800 nm;@ 14 kn;;2019-01-01;;;Classic Yacht;;;;;;
258;43.31 m;1997;17 kn;7.32 m;389;10;9;https://www.northropandjohnson.com/yachts-for-sale/lady-j-142-palmer-johnson;;LADY J;Motor Yacht;;Palmer Johnson;;Tom Fexas;Terence Disdale;43.31 metres;;7.32 metres;1.83 metres;389;198;1997;;Semi Displacement;ABS;17 kn;12 kn;49210.33 litres;7570.82 litres;Detroit Diesel;3600hp;Aluminium;Aluminium;Teak;10;5;1;2;2;3;3100 nm;@ 13 kn;;;;;;;;;;;
259;37 m;2023;14.5 kn;8 m;362;12;6;https://www.galatiyachts.com/;;ROCKIT;Motor Yacht;37 XP;Numarine;;;;37 metres;35.16 metres;8 metres;2.71 metres;362;300;2023;37XP/08/04;Full Displacement;;14.5 kn;12 kn;51000 litres;3000 litres;Caterpillar;1600hp;GRP;GRP;Teak;12;6;1;2;2;3;6000 nm;@ 8 kn;3;;;;;;;;;;
260;58 m;2006;18 kn;10 m;923;12;;https://www.oceanindependence.com/yachts-for-sale/yacht/astrid-conroy;;ASTRID CONROY;Motor Yacht;;Amels;;;;58 metres;;10 metres;;923;;2006;447;Full Displacement;LR;18 kn;16 kn;;;Caterpillar;5270hp;Steel;Aluminium;Teak;12;;;;;3;;;;2018-04-05;;;;;;;;;
261;37.3 m;2011;31 kn;7.5 m;245;8;6;http://www.denisonyachtsales.com/;Price from €100,000 p/w •;AURELIA;Motor Yacht;3700;Heesen Yachts;;;;37.3 metres;29.38 metres;7.5 metres;2.2 metres;245;155;2011;154 37;Semi Displacement;ABS;31 kn;16 kn;35088 litres;8000 litres;MTU;7300hp;Aluminium;Aluminium;Teak;8;4;1;3;2;2;2000 nm;@ 12 kn;;2017-01-01;;;;;;;;;
262;34.14 m;2009;25 kn;7.25 m;208;8;5;https://www.worthavenueyachts.com/yachts-for-sale/al3agrab/;;AL3AGRAB;Motor Yacht;112;Westport;;;;34.14 metres;29.5 metres;7.25 metres;1.6 metres;208;107;2009;7739;Deep V / Planing;;25 kn;22 kn;20819 litres;3830 litres;MTU;4000hp;GRP;GRP;GRP,Teak;8;4;1;1;1;2;2500 nm;@ 12 kn;1;;;;;;;;;;
