;LENGTH;BUILD YEAR;TOP SPEED;BEAM;GT;GUESTS;CREW;BROKER;CHARTER;Name:;Yacht Type:;Series, Model, Class:;Builder:;Naval Architect:;Exterior Designer:;Interior Designer:;Length Overall:;Length at Waterline:;Beam:;Max Draught:;Gross Tonnage:;Displacement Tonnage:;Year of Build:;Hull Number:;Hull Type:;Classification:;Max Speed:;Cruising Speed:;Fuel Capacity:;Water Capacity:;Engine Make:;Total power:;Hull:;Superstructure:;Deck:;Guests:;Passenger Rooms:;Master Rooms:;Double Rooms:;Twin Rooms:;Number of Decks:;Range:;;VIP Rooms:;Refits:;Single Rooms:;Triple Rooms:;Yacht Subtype:;Convertible:;Crew bunk beds:;Pullman Beds:;MCA Compliant:;Engine Model;Build time:
13;55.7 m;1983;16 kn;8.66 m;591;12;12;https://www.superyachtsmonaco.com/sales/illusion-i/;;ILLUSION I;Motor Yacht;;Feadship;;Frits De Voogt;Bannenberg & Rowell;55.7 metres;46.18 metres;8.66 metres;3.17 metres;591;488;1983;748;Full Displacement;LR;16 kn;14 kn;73000 litres;19000 litres;Caterpillar;;Steel;Aluminium;Teak;12;6;1;3;2;3;3500 nm;@ 12 kn;;2017-01-01;;;;;;;;;
14;34.11 m;2006;38 kn;7.35 m;184;8;5;https://largeyachtcorp.com/buy-walindi/;;WALINDI;Motor Yacht;34 Sport;Leopard Yachts;;;;34.11 metres;28.1 metres;7.35 metres;1.22 metres;184;105;2006;34/06;Deep V / Planing;;38 kn;34 kn;16000 litres;2000 litres;MTU;6000hp;GRP;GRP;Teak;8;4;1;1;1;2;600 nm;@ 34 kn;1;2018-10-10;;;;;;;;;
15;55.5 m;2005;15.5 kn;10 m;782;10;14;https://www.burgessyachts.com/en/buy-a-yacht/yachts-for-sale/mary-a-00006828;;MARY A;Motor Yacht;;Feadship;;;;55.5 metres;49.1 metres;10 metres;3.15 metres;782;850;2005;669;Full Displacement;LR;15.5 kn;12.5 kn;99880 litres;24160 litres;Caterpillar;3040hp;Steel;Aluminium;Teak;10;5;1;3;1;3;4800 nm;@ 12.5 kn;;2009-01-01;;;;;;;;;
16;40 m;2013;12 kn;9.4 m;254;9;6;https://cecilwright.com/sales/state-of-grace;;STATE OF GRACE;Sail Yacht;;Perini Navi;;;;40 metres;34.1 metres;9.4 metres;9.1 metres;254;300;2013;C.2180;Monohull;ABS;12 kn;11 kn;12000 litres;5000 litres;Caterpillar;671hp;Aluminium;Aluminium;Teak;9;4;1;1;2;;3000 nm;@ 11 kn;;2020-01-01, 2023-01-01;;;;;;;;;
17;50 m;2022;23 kn;9 m;497;12;9;https://www.burgessyachts.com/en/buy-a-yacht/yachts-for-sale/book-ends-10001516;;BOOK ENDS;Motor Yacht;5000 Aluminium;Heesen Yachts;;;;50 metres;;9 metres;2.15 metres;497;;2022;19850;Semi Displacement;ABS;23 kn;20 kn;56412 litres;16352 litres;MTU;6866hp;Aluminium;Aluminium;Teak;12;5;1;2;2;3;4200 nm;@ 11 kn;;;;;;;;;;;
18;60 m;2008;16 kn;10.4 m;971;12;16;https://www.37southyachts.com/for-sale/mimi;;MIMI;Motor Yacht;;Benetti;;;;60 metres;51.4 metres;10.4 metres;3.2 metres;971;830;2008;FB 245;Full Displacement;LR;16 kn;14.5 kn;135000 litres;29000 litres;Caterpillar;3700hp;Steel;Aluminium;Teak;12;6;1;2;2;3;4500 nm;@ 12.5 kn;1;;;;;;;;;;
19;90.1 m;2010;18 kn;14 m;2667;12;28;https://cecilwright.com/sales/phoenix-2;Price from €1,150,000 p/w •;PHOENIX 2;Motor Yacht;;Lurssen;;;;90.1 metres;;14 metres;3.8 metres;2667;;2010;13659;Full Displacement;LR;18 kn;14 kn;;;MTU;;Steel;Aluminium;Teak;12;;;;;4;;;;2021-11-25;;;;;;;;;
20;40 m;2012;24 kn;8.09 m;338;11;7;https://www.galatiyachts.com/;;SUNSEEKER 40;Motor Yacht;131 Yacht;Sunseeker;;;;40 metres;31.19 metres;8.09 metres;2.25 metres;338;230;2012;52112131;Semi Displacement;RINA;24 kn;19 kn;28710 litres;4950 litres;MTU;6362hp;GRP;GRP;Teak;11;5;1;2;2;3;1500 nm;@ 12 kn;1;2021-04-01,2021-06-04;;;;;;;;;
21;47.1 m;2001;15 kn;8.8 m;498;14;11;https://brmarinegroup.com/;;BERILDA;Motor Yacht;;Feadship;;;;47.1 metres;41 metres;8.8 metres;3 metres;498;448;2001;785;Full Displacement;LR;15 kn;13 kn;78500 litres;16000 litres;Caterpillar;2000hp;Steel;Aluminium;Teak;14;6;1;2;2;3;4600 nm;@ 10 kn;;2022-01-01;1;;;;;;;;
22;32.95 m;2016;26 kn;7.25 m;147;10;5;https://www.alliedmarine.com/used-yachts-for-sale/2016-custom-line-108-dokinha-v-yacht-for-sale/8888604_2;;DOKINHA V;Motor Yacht;108;Custom Line;;;;32.95 metres;;7.25 metres;1.98 metres;147;142;2016;108/05;Deep V / Planing;RINA;26 kn;23 kn;14700 litres;3000 litres;MTU;3382hp;GRP;GRP;Teak;10;5;1;2;2;2;430 nm;@ 23 kn;;;;;;;;;;;
23;43.65 m;1996;20 kn;8.5 m;409;12;9;https://www.flacktonyachting.com/en/;;DALOLI;Motor Yacht;Diaship 4300;Heesen Yachts;;Diaship Design;Art-Line;43.65 metres;;8.5 metres;2.9 metres;409;;1996;97 43;Semi Displacement;Rina;20 kn;15 kn;60000 litres;15999 litres;MTU;5908hp;Aluminium;Aluminium;Teak;12;5;1;;;3;2600 nm;@ 12 kn;2;2008-01-01, 2021-01-01, 2023-01-01;;2;;;;;;;
24;43.5 m;2011;13.5 kn;8.2 m;478;12;9;https://camperandnicholsons.com/luxury-motor-yacht-for-sale/baron-trenck-eurocraft-2011;Price from €135,000 p/w •;BARON TRENCK;Motor Yacht;44m Explorer;Eurocraft;;Eurocraft;Eurocraft;43.5 metres;;8.2 metres;3 metres;478;425;2011;507;Full Displacement;;13.5 kn;10 kn;105000 litres;23270 litres;MTU;1630hp;Steel;Aluminium;Teak;12;6;1;1;3;4;7200 nm;@ 10 kn;1;2022-03-30,2021-02-19;;;;;;;;;
25;26.31 m;2017;19 kn;6.4 m;;6;4;https://www.outerreefyachts.com/used-yachts/2017-outer-reef-yachts-860-dbmy-insignia/8923854_2;;INSIGNIA;Motor Yacht;860 Deluxebridge;Outer Reef Yachts;;;;26.31 metres;;6.4 metres;1.82 metres;;110;2017;86076;Semi Displacement;;19 kn;11 kn;15141.65 litres;1893 litres;Caterpillar C32;1600hp;GRP;GRP;GRP,Teak;6;3;1;1;;3;;;1;;;;;;;;;;
26;39.08 m;2020;28 kn;7.1 m;180;12;;https://camperandnicholsons.com/luxury-motor-yacht-for-sale/the-great-escape-sanlorenzo-2020;;THE GREAT ESCAPE;Motor Yacht;SL102;Sanlorenzo;;;;39.08 metres;;7.1 metres;1.9 metres;180;105;2020;722;Deep V / Planing;RINA;28 kn;25 kn;;;MTU;;GRP;GRP;Teak;12;5;;;;2;;;;;;;;;;;;;
27;63 m;2018;33 kn;10.8 m;986;12;13;https://www.moranyachts.com/luxury-yachts/utopia-iv/?yacht-type=luxury-yachts-for-sale;;UTOPIA IV;Motor Yacht;Vector;Rossinavi;;;;63 metres;;10.8 metres;2.3 metres;986;;2018;FR031;Fast Displacement;RINA;33 kn;26 kn;;;MTU;10400hp;Aluminium;Aluminium;Teak;12;6;1;3;1;3;3600 nm;@ 12 kn;1;;;;;;;;;;
28;54.25 m;2004;15 kn;11 m;428;12;10;https://www.g-yachts.com/;;TIARA II;Sail Yacht;;Alloy Yachts;;;;54.25 metres;44.6 metres;11 metres;5.2 metres;428;468;2004;AY 30;Monohull;LR;15 kn;12 kn;38400 litres;10000 litres;Caterpillar;1400hp;Aluminium;Aluminium;Teak;12;5;1;2;2;;5900 nm;@ 10 kn;;2020-06-26,2020-08-06,2021-07-12,2021-01-21;;;;;;;;;
